check_id,status,file,issue,evidence,fix_recommendation
C01,PASS,/umed-projekty/rtpipeline/manuscript/submission/source/ijrobp_arcA_current/manuscript.md,"Main-figure citations are monotonic in body text","First-mention order in main text is Figure 1 -> Figure 2 -> Figure 3 -> Figure 4 before the Figure Legends section","None"
C02,PASS,/umed-projekty/rtpipeline/manuscript/submission/source/ijrobp_arcA_current/manuscript.md,"Main-table citations are monotonic","Table 1 is first introduced in Methods and is the only main table","None"
C03,PASS,/umed-projekty/rtpipeline/manuscript/submission/source/ijrobp_arcA_current/manuscript.md,"Supplementary table citations are monotonic","First-mention order in main text is Supplementary Table S1 -> S2 -> S3 -> S4 -> S5 -> S6 -> S7 -> S8","None"
C04,PASS,/umed-projekty/rtpipeline/manuscript/submission/source/ijrobp_arcA_current/manuscript.md,"Reference numbering is monotonic and complete","First-mention order of references is 1 through 13 with no gaps or orphaned entries","None"
C05,PASS,/umed-projekty/rtpipeline/manuscript/submission/source/ijrobp_arcA_current/manuscript.md,"All cited main figures have legends","The Figure Legends section defines Figures 1-4 and describes all cited panels","None"
C06,PASS,/umed-projekty/rtpipeline/manuscript/submission/source/ijrobp_arcA_current/supplementary/supplement.md,"All cited supplementary tables resolve to a real artifact","Supplementary Tables S1-S8 are present as titled sections in supplement.md","None"
C07,PASS,/umed-projekty/rtpipeline/manuscript/submission/source/ijrobp_arcA_current/figures,"All main figure artifacts exist on disk and match the manuscript names","Figure1_study_design, Figure2_nsclc_benchmark, Figure3_multicohort_landscape, and Figure4_constraints_qc_shape exist as 3840x2880 PNGs with matching PDFs","None"
C08,PASS,/umed-projekty/rtpipeline/manuscript/submission/source/ijrobp_arcA_current/manuscript.md;/umed-projekty/rtpipeline/manuscript/analysis/report_share.md,"Collaborator-facing claim stack is synchronized across manuscript and report_share","Both files scope the direct superiority claim to NSCLC_Interobserver and frame the multicohort result as stable hierarchy plus residual heterogeneity","None"
C09,PASS,/umed-projekty/rtpipeline/manuscript/submission/source/ijrobp_arcA_current/manuscript.md;/umed-projekty/rtpipeline/manuscript/submission/source/ijrobp_arcA_current/supplementary/supplement.md;/umed-projekty/rtpipeline/manuscript/analysis/report_share.md,"No leaked technical paths or private hostnames in collaborator-facing text","Regex search for /home, /Users, /tmp, /mnt, localhost, and IPv4 patterns returned no matches","None"
C10,PASS,/umed-projekty/rtpipeline/manuscript/submission/source/ijrobp_arcA_current/manuscript.md,"Structured abstract fits the Red Journal limit","Programmatic count of the structured abstract body is 297 words after the RTpipeline framing and matched-sensitivity compression pass","None"
C11,PASS,/umed-projekty/rtpipeline/manuscript/analysis/plan.md;/umed-projekty/rtpipeline/manuscript/analysis/report.md;/umed-projekty/rtpipeline/manuscript/analysis/report_share.md,"Required plan/report/report_share files exist for downstream QA","analysis/plan.md was restored for the active Arc-A package; report.md and report_share.md already existed","None"
C12,PASS,/umed-projekty/rtpipeline/manuscript/submission/source/ijrobp_arcA_current/manuscript.md;/umed-projekty/rtpipeline/manuscript/submission/source/ijrobp_arcA_current/cover_letter.md;/umed-projekty/rtpipeline/manuscript/submission/source/ijrobp_arcA_current/title_page.md;/umed-projekty/rtpipeline/manuscript/analysis/report_share.md,"RTpipeline is consistently framed as enabling workflow rather than the headline claim","The manuscript Introduction, Methods, Discussion, Code Availability, cover letter, title-page keywords/COI, and report_share all describe RTpipeline as the operational enabler and intended citation target for this validated workflow","None"
