claim_location,claim_text,source_artifact,source_value,status
/umed-projekty/rtpipeline/manuscript/submission/source/ijrobp_arcA_current/manuscript.md:11,"1,338 patients and 876 robustness courses",/umed-projekty/rtpipeline/manuscript/submission/source/ijrobp_arcA_current/manuscript.md:113-123,"Table 1 sums to 1,338 analysis-ready patients and 876 robustness courses",PASS
/umed-projekty/rtpipeline/manuscript/submission/source/ijrobp_arcA_current/manuscript.md:11,"21 of 23 benchmark cases yielded complete paired feature tables",/umed-projekty/rtpipeline/manuscript/submission/source/ijrobp_arcA_current/manuscript.md:43,"Benchmark cohort paragraph states 23 local packaged benchmark folders were available and 21 contributed complete paired feature tables",PASS
/umed-projekty/rtpipeline/manuscript/submission/source/ijrobp_arcA_current/manuscript.md:15,"AI lower than specialists in all 7 feature families in the full 1,223-feature universe",/umed-projekty/rtpipeline/manuscript/analysis/tables/nsclc_io_within_patient_summary.csv,"All 7 rows show median_human_cov_pct > median_ai_cov_pct and wilcoxon_direction=human_higher",PASS
/umed-projekty/rtpipeline/manuscript/submission/source/ijrobp_arcA_current/manuscript.md:15,"Benchmark examples: shape 7.57 vs 4.85, first-order 2.62 vs 2.00, GLSZM 18.89 vs 15.32, NGTDM 12.21 vs 5.26",/umed-projekty/rtpipeline/manuscript/analysis/tables/nsclc_io_within_patient_summary.csv,"shape 7.5733/4.8462; firstorder 2.6228/1.9968; glszm 18.8936/15.3216; ngtdm 12.2143/5.2609",PASS
/umed-projekty/rtpipeline/manuscript/submission/source/ijrobp_arcA_current/manuscript.md:15,"Overall benchmark median CoV 2.57% vs 1.79%; paired delta 0.1143 [95% CI 0.0380-0.2633]; 59.3% favoring AI",/umed-projekty/rtpipeline/manuscript/analysis/tables/shared_feature_bridge_vs_full.csv,"overall full row: 2.5746293942 vs 1.7889962915; delta 0.1143004899; CI 0.0379854812 to 0.2632966345; pct_pairs_ai_lower_full 59.2726706382",PASS
/umed-projekty/rtpipeline/manuscript/submission/source/ijrobp_arcA_current/manuscript.md:15,"Replicate-matched sensitivity: 9 of 10 human triplets still favored AI overall on the 20-patient raw-feature subset",/umed-projekty/rtpipeline/manuscript/analysis/tables/nsclc_io_triplet_matched_summary.csv,"overall row: n_patients=20; n_human_triplets=10; n_triplets_positive_delta=9; median_triplet_delta_pct=0.0370477422; median_ai_lower_fraction_pct=56.9092392436",PASS
/umed-projekty/rtpipeline/manuscript/submission/source/ijrobp_arcA_current/manuscript.md:15,"Shared 107-feature universe: 3.23% vs 2.27%; delta 0.2980 [95% CI 0.0747-0.6271]; 60.5% favoring AI",/umed-projekty/rtpipeline/manuscript/analysis/tables/shared_feature_bridge_vs_full.csv,"overall overlap row: 3.2328498155 vs 2.2717635664; delta 0.2979629765; CI 0.0747258498 to 0.6271314869; pct_pairs_ai_lower_overlap 60.5251446373",PASS
/umed-projekty/rtpipeline/manuscript/submission/source/ijrobp_arcA_current/manuscript.md:15,"GLCM remained directionally favorable in the overlap bridge but was not significant",/umed-projekty/rtpipeline/manuscript/analysis/tables/shared_feature_bridge_vs_full.csv,"glcm overlap row: median_paired_delta_pct_overlap 0.0150914311; wilcoxon_p_overlap 0.2460506013; ai_advantage_persists_overlap=False",PASS
/umed-projekty/rtpipeline/manuscript/submission/source/ijrobp_arcA_current/manuscript.md:15,"Null features near zero (0.000145) versus non-null features (0.152606; P=0.01264)",/umed-projekty/rtpipeline/manuscript/analysis/tables/null_feature_control_summary.csv,"null median 0.0001445994; non_null median 0.1526056019; Mann-Whitney p 0.0126395232",PASS
/umed-projekty/rtpipeline/manuscript/submission/source/ijrobp_arcA_current/manuscript.md:89,"Family ranking remained stable with mean Spearman rho 0.9798 and range 0.9394-0.9998",/umed-projekty/rtpipeline/manuscript/analysis/tables/loco_hierarchy_stability.csv,"SUMMARY_mean spearman_rho 0.9798116810; cohortwise minimum 0.9393558312 (Hipokampy); maximum 0.9997739475 (LCTSC)",PASS
